run_id	train_energy	valid_energy	test_energy	total_energy	v_map@5	v_ndcg@5	v_prec@5	v_recall@5	v_map@10	v_ndcg@10	v_prec@10	v_recall@10	v_map@20	v_ndcg@20	v_prec@20	v_recall@20	v_map@50	v_ndcg@50	v_prec@50	v_recall@50	t_map@5	t_ndcg@5	t_prec@5	t_recall@5	t_map@10	t_ndcg@10	t_prec@10	t_recall@10	t_map@20	t_ndcg@20	t_prec@20	t_recall@20	t_map@50	t_ndcg@50	t_prec@50	t_recall@50
FREEDOM-sports(883, 0.1, 3, 3, I)	0.07322129213954538	0.4100901195507618	0.7021371511002582	1.1854485627905653	0.0213	0.0266	0.0090	0.0406	0.0245	0.0346	0.0072	0.0650	0.0279	0.0434	0.0052	0.0977	0.0297	0.0555	0.0034	0.1581	0.0213	0.0266	0.0090	0.0406	0.0245	0.0346	0.0072	0.0650	0.0269	0.0434	0.0055	0.0988	0.0289	0.0561	0.0036	0.1615
LATTICE-sports(883, 0.001, 2, 10, I)	0.1361155891803315	0.885439670239389	0.6672827623508981	1.6888380217706187	0.0192	0.0240	0.0080	0.0366	0.0218	0.0305	0.0062	0.0566	0.0234	0.0371	0.0045	0.0850	0.0251	0.0480	0.0030	0.1397	0.0192	0.0240	0.0080	0.0366	0.0218	0.0305	0.0062	0.0566	0.0239	0.0382	0.0048	0.0865	0.0257	0.0495	0.0032	0.1419
LATTICE-sports(883, 0.001, 2, 20, I)	0.1464114969525264	0.5436061429824298	0.615878724164177	1.3058963640991332	0.0183	0.0227	0.0075	0.0341	0.0210	0.0294	0.0060	0.0545	0.0229	0.0363	0.0044	0.0833	0.0246	0.0470	0.0029	0.1368	0.0183	0.0227	0.0075	0.0341	0.0210	0.0294	0.0060	0.0545	0.0230	0.0371	0.0047	0.0844	0.0248	0.0483	0.0031	0.1398
LATTICE-sports(883, 0.01, 2, 10, I)	0.26015805348197696	1.0948144011608627	0.9485795788211994	2.303552033464039	0.0209	0.0260	0.0087	0.0396	0.0236	0.0327	0.0067	0.0601	0.0263	0.0412	0.0050	0.0934	0.0281	0.0525	0.0032	0.1500	0.0209	0.0260	0.0087	0.0396	0.0236	0.0327	0.0067	0.0601	0.0258	0.0411	0.0052	0.0925	0.0277	0.0530	0.0034	0.1510
LATTICE-sports(883, 0.01, 2, 20, I)	0.33598265083218837	1.187403515605813	1.113557062086706	2.636943228524707	0.0204	0.0252	0.0084	0.0377	0.0235	0.0329	0.0068	0.0612	0.0266	0.0418	0.0050	0.0949	0.0283	0.0531	0.0032	0.1513	0.0204	0.0252	0.0084	0.0377	0.0235	0.0329	0.0068	0.0612	0.0258	0.0413	0.0052	0.0934	0.0276	0.0530	0.0034	0.1514
LATTICE-sports(883, 0.1, 2, 10, I)	0.2906747699333747	0.7272555084637639	0.7350121070120743	1.7529423854092128	0.0130	0.0169	0.0061	0.0273	0.0155	0.0233	0.0053	0.0469	0.0177	0.0308	0.0041	0.0767	0.0194	0.0416	0.0028	0.1308	0.0130	0.0169	0.0061	0.0273	0.0155	0.0233	0.0053	0.0469	0.0174	0.0304	0.0042	0.0746	0.0192	0.0421	0.0030	0.1323
LATTICE-sports(883, 0.1, 2, 20, I)	0.4314130171395919	1.1847723089487472	1.1842923378499315	2.8004776639382705	0.0160	0.0201	0.0069	0.0309	0.0186	0.0265	0.0056	0.0502	0.0210	0.0342	0.0043	0.0810	0.0227	0.0452	0.0029	0.1359	0.0160	0.0201	0.0069	0.0309	0.0186	0.0265	0.0056	0.0502	0.0206	0.0339	0.0044	0.0789	0.0224	0.0458	0.0031	0.1379
LATTICE-sports(883, 0.001, 3, 10, I)	0.15099368320657494	0.5242918876090877	0.3783278937161365	1.0536134645317992	0.0184	0.0228	0.0076	0.0343	0.0212	0.0297	0.0061	0.0554	0.0227	0.0364	0.0044	0.0840	0.0244	0.0471	0.0029	0.1375	0.0184	0.0228	0.0076	0.0343	0.0212	0.0297	0.0061	0.0554	0.0232	0.0372	0.0047	0.0846	0.0250	0.0487	0.0032	0.1414
LATTICE-sports(883, 0.001, 3, 20, I)	0.150272138861674	0.3048121869773391	0.3776527208553948	0.832737046694408	0.0171	0.0213	0.0072	0.0323	0.0198	0.0281	0.0059	0.0529	0.0219	0.0349	0.0043	0.0803	0.0235	0.0452	0.0028	0.1316	0.0171	0.0213	0.0072	0.0323	0.0198	0.0281	0.0059	0.0529	0.0217	0.0352	0.0045	0.0806	0.0235	0.0464	0.0031	0.1359
LATTICE-sports(883, 0.01, 3, 10, I)	0.41800485738909166	0.9979826281541497	0.9254058799665901	2.3413933655098313	0.0210	0.0262	0.0088	0.0399	0.0239	0.0334	0.0069	0.0617	0.0264	0.0414	0.0050	0.0937	0.0282	0.0527	0.0032	0.1501	0.0210	0.0262	0.0088	0.0399	0.0239	0.0334	0.0069	0.0617	0.0261	0.0416	0.0052	0.0933	0.0280	0.0535	0.0034	0.1522
